PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4K_testnum_013,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4K_testnum_014,921600,30,0.1,AV1,0.8983529411764707,229.08,2.3474220753327364
card_01_1280x720_30_yuv420p.yuv_AV1_0.2M,lofps_4k_testnum_009,921600,30,0.2,AV1,0.7776339869281045,198.29666666666665,2.770337464438793
card_01_1280x720_60_yuv420p.yuv_AV1_0.05M,lofps_4k_testnum_005,921600,60,0.05,AV1,0.991372549019608,252.8,1.9297209028576807
card_01_1920x1080_60_yuv420p.yuv_AV1_0.4M,lofps_4k_testnum_005,2073600,60,0.4,AV1,0.8057254901960784,205.46,3.307810340216863
card_01_3840x2160_30_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,8294400,30,0.3,AV1,0.974483660130719,248.4933333333333,2.982375405813088
card_01_3840x2160_30_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,8294400,30,0.5,AV1,0.916483660130719,233.7033333333333,3.267307823810881
card_01_3840x2160_30_yuv420p.yuv_AV1_1M,lofps_4k_testnum_005,8294400,30,1.0,AV1,0.8029281045751634,204.74666666666667,3.688881597112185
card_01_3840x2160_30_yuv420p.yuv_AV1_3M,lofps_4k_testnum_010,8294400,30,3.0,AV1,0.5924575163398692,151.07666666666665,4.152042860267249
card_01_3840x2160_60_yuv420p.yuv_AV1_0.3M,lofps_4K_testnum_014,8294400,60,0.3,AV1,0.9900522875816994,252.4633333333333,2.896092994608098
card_01_3840x2160_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_013,8294400,60,0.5,AV1,0.9522287581699346,242.81833333333333,3.0982291369562858
card_01_3840x2160_60_yuv420p.yuv_AV1_5M,lofps_4K_testnum_014,8294400,60,5.0,AV1,0.5376993464052288,137.11333333333334,4.228216746925021
fps_02_1280x720_120_yuv420p.yuv_AV1_0.4M,hifps_120_testnum_000,921600,120,0.4,AV1,0.9072350664975776,231.34494195688225,2.3111118323537863
fps_02_1280x720_120_yuv420p.yuv_AV1_1.5M,hifps_120_testnum_000,921600,120,1.5,AV1,0.6851331577407083,174.7089552238806,3.015955245029209
fps_02_1280x720_30_yuv420p.yuv_AV1_0.2M,lofps_4k_testnum_009,921600,30,0.2,AV1,0.9190105181145306,234.3476821192053,2.2618139829125
fps_02_1920x1080_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,2073600,60,0.5,AV1,0.9153123272526258,233.4046434494196,2.889798340203873
fps_02_1920x1080_60_yuv420p.yuv_AV1_1M,hifps_120_testnum_000,2073600,60,1.0,AV1,0.8155366956069326,207.96185737976785,3.2757197149043584
fps_02_1920x1080_60_yuv420p.yuv_AV1_5M,lofps_4K_testnum_014,2073600,60,5.0,AV1,0.5167886059896596,131.7810945273632,3.926435490731148
fps_02_3840x2160_30_yuv420p.yuv_AV1_1.5M,lofps_4K_testnum_013,8294400,30,1.5,AV1,0.8785751633986928,224.03666666666663,3.426016375353912
fps_02_3840x2160_60_yuv420p.yuv_AV1_10M,lofps_4k_testnum_010,8294400,60,10.0,AV1,0.587248366013072,149.7483333333333,4.159899100204946
fps_02_3840x2160_60_yuv420p.yuv_AV1_2M,lofps_4K_testnum_014,8294400,60,2.0,AV1,0.87859477124183,224.04166666666663,3.425939334226858
fps_02_3840x2160_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_009,8294400,60,5.0,AV1,0.7109215686274509,181.285,3.931303680791813
3rd_02_1280x720_120_yuv420p.yuv_AV1_2M,hifps_120_testnum_003,921600,120,2.0,AV1,0.7604177816701536,193.9065343258892,2.82074558474213
3rd_02_1280x720_120_yuv420p.yuv_AV1_30M,hifps_120_testnum_003,921600,120,30.0,AV1,0.4452326505457435,113.5343258891646,3.424383256266939
3rd_02_1280x720_120_yuv420p.yuv_AV1_5M,hifps_120_testnum_000,921600,120,5.0,AV1,0.6754601923482378,172.24234904880066,3.0382775068848407
